Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Col_17,Col_18,Col_19,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW YORK N Y,,56,58.0,71.0,379.0,209.0,105.0,138.0,162.0,191.0,210.0,222.0,236.0,272.0,335.0,,,,92.3,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,,57,25.0,94.0,330.0,197.0,105.0,138.0,155.0,166.0,186.0,201.0,227.0,278.0,315.0,,,,95.5,2,,nan,,0.0,unmatched,False,False
NEW YORK N Y,,53 57,259.0,44.0,642.0,198.0,97.0,127.0,149.0,166.0,187.0,209.0,232.0,266.0,320.0,,,,93.2,2,,nan,,0.0,unmatched,True,False
BINGHAMTON N Y,1,57,26.0,54.0,224.0,94.0,58.0,65.0,72.0,76.0,89.0,99.0,105.0,119.0,130.0,,,,92.3,2,,Binghamton,34.0,100.0,exact,False,False
BUFFALO N Y,1,57,6.0,70.0,388.0,166.0,71.0,71.0,76.0,76.0,105.0,171.0,171.0,236.0,236.0,,,,92.9,2,,Buffalo,35.0,100.0,exact,False,False
BUFFALO N Y,2,57,15.0,80.0,607.0,241.0,123.0,130.0,145.0,158.0,181.0,191.0,278.0,327.0,580.0,,,,92.4,2,,nan,,0.0,unmatched,False,False
BUFFALO N Y,,57,21.0,70.0,607.0,220.0,76.0,105.0,130.0,145.0,171.0,191.0,236.0,327.0,453.0,,,,94.2,2,,nan,,0.0,unmatched,False,False
SCHENECTADY N,1,57,22.0,,143.0,7.7,47.0,51.0,58.0,65.0,76.0,85.0,92.0,102.0,123.0,,,,92.6,2,,Schenectady,36.0,92.9,high_confidence,False,False
SYRACUSE N Y,1,57,26.0,40.0,347.0,119.0,47.0,65.0,80.0,89.0,105.0,125.0,134.0,158.0,186.0,,,,91.0,2,,Syracuse,37.0,100.0,exact,False,False
UTICA N Y,1,57,24.0,44.0,228.0,120.0,60.0,69.0,74.0,100.0,114.0,130.0,,179.0,,,,,94.1,2,,Utica,38.0,100.0,exact,False,False
PHILADELPHIA PA,1,53,8.0,92.0,414.0,265.0,105.0,201.0,201.0,236.0,257.0,278.0,385.0,385.0,419.0,,,,93.5,2,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,1,54,75.0,37.0,760.0,202.0,87.0,108.0,130.0,153.0,174.0,198.0,226.0,257.0,766.0,,,,94.7,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,55,289.0,56.0,576.0,210.0,117.0,144.0,157.0,170.0,196.0,217.0,241.0,279.0,319.0,,,,94.7,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,1,56,307.0,66.0,761.0,220.0,128.0,148.0,167.0,184.0,200.0,217.0,234.0,271.0,325.0,,,,95.3,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,1,53 56,679.0,37.0,761.0,214.0,116.0,143.0,159.0,176.0,197.0,216.0,236.0,274.0,325.0,,,,93.1,2,,nan,,0.0,unmatched,True,False
PHILADELPHIA PA,2,54,6.0,339.0,696.0,533.0,385.0,385.0,533.0,533.0,564.0,596.0,596.0,627.0,627.0,,,,93.5,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,2,,19.0,158.0,550.0,345.0,236.0,264.0,286.0,303.0,319.0,327.0,408.0,453.0,506.0,,,,92.7,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,2,54 55,25.0,158.0,696.0,390.0,250.0,278.0,303.0,319.0,3865.0,,493.0,533.0,604.0,,,,93.1,2,,nan,,0.0,unmatched,True,False
PHILADELPHIA PA,3,53,6.0,71.0,376.0,170.0,71.0,71.0,76.0,76.0,112.0,219.0,219.0,236.0,236.0,,,,91.3,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,3,54,26.0,29.0,382.0,123.0,67.0,71.0,76.0,89.0,,127.0,136.0,158.0,201.0,,,,92.1,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,3,55,14.0,94.0,238.0,145.0,93.0,101.0,105.0,117.0,123.0,154.0,171.0,181.0,201.0,,,,95.3,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,3,53 55,46.0,29.0,382.0,138.0,69.0,75.0,92.0,102.0,117.0,136.0,155.0,186.0,224.0,,,,93.7,2,,nan,,0.0,unmatched,True,False
PHILADELPHIA PA,4,55,27.0,,,311.0,194.0,207.0,,247.0,278.0,303.0,356.0,430.0,480.0,,,,92.6,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,4,,23.0,,1.0,286.0,135.0,167.0,193.0,218.0,243.0,266.0,3021.0,,,,,,89.8,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,4,57,25.0,86.0,323.0,203.0,134.0,145.0,165.0,1861.0,,219.0,236.0,257.0,294.0,,,,93.5,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,4,55,285.0,51.0,,281.0,140.0,168.0,195.0,217.0,240.0,264.0,298.0,361.0,499.0,,,,90.7,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,5,55,24.0,44.0,327.0,127.0,,78.0,83.0,89.0,97.0,105.0,130.0,145.0,278.0,,,,92.9,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,,41.0,66.0,2963.0,178.0,80.0,,112.0,129.0,152.0,167.0,208.0,236.0,311.0,,,,87.9,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,5,55 56,65.0,44.0,563.0,159.0,77.0,84.0,94.0,110.0,129.0,149.0,181.0,224.0,298.0,,,,94.7,2,,nan,,0.0,unmatched,True,False
PHILADELPHIA PA,6,55,12.0,84.0,271.0,177.0,89.0,134.0,154.0,162.0,1721.0,,210.0,227.0,236.0,,,,92.4,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,6,56,42.0,91.0,581.0,192.0,125.0,131.0,140.0,149.0,167.0,181.0,194.0,222.0,303.0,,,,91.6,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,6,55 56,54.0,84.0,281.0,189.0,124.0,133.0,141.0,154.0,168.0,1853.0,,220.0,278.0,,,,91.0,2,,nan,,0.0,unmatched,True,False
PHILADELPHIA PA,7,55,6.0,135.0,316.0,240.0,145.0,145.0,201.0,,236.0,294.0,294.0,,311.0,,,,94.2,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,7,56,38.0,76.0,910.0,229.0,94.0,132.0,145.0,162.0,191.0,216.0,236.0,268.0,385.0,,,,93.7,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,7,55,44.0,76.0,910.0,230.0,94.0,134.0,149.0,171.0,201.0,219.0,247.0,288.0,385.0,,,,93.2,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,,14.0,71.0,414.0,224.0,71.0,89.0,105.0,213.0,224.0,236.0,278.0,356.0,419.0,,,,92.8,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,54,107.0,29.0,760.0,203.0,76.0,94.0,116.0,137.0,160.0,186.0,220.0,,385.0,,,,95.4,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,55,391.0,44.0,621.0,215.0,107.0,137.0,156.0,172.0,200.0,223.0,252.0,290.0,331.0,,,,94.4,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,56,661.0,,1.0,239.0,123.0,146.0,166.0,186.0,207.0,228.0,256.0,298.0,401.0,,,,93.0,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,57,25.0,86.0,323.0,203.0,134.0,145.0,165.0,181.0,207.0,219.0,236.0,257.0,294.0,,,,94.1,2,,nan,,0.0,unmatched,False,False
PHILADELPHIA PA,,53 57,1198.0,,,,,138.0,158.0,178.0,202.0,223.0,251.0,292.0,373.0,,,,92.3,2,,nan,,0.0,unmatched,True,False
ALTOONA PA,1,55,3.0,82.0,125.0,,,89.0,89.0,89.0,105.0,105.0,105.0,105.0,145.0,,,,92.1,2,,Altoona,57.0,100.0,exact,False,False
ALTOONA PA,1,,24.0,61.0,411.0,,71.0,80.0,83.0,89.0,117.0,127.0,141.0,158.0,191.0,,,,89.6,2,,nan,,0.0,unmatched,False,False
ALTOONA PA,1,55 56,27.0,61.0,411.0,125.0,76.0,79.0,84.0,89.0,117.0,127.0,1368.0,,181.0,,,,88.5,2,,nan,,0.0,unmatched,True,False
BRISTOL PA,1,55,31.0,27.0,229.0,96.0,47.0,65.0,73.0,81.0,92.0,100.0,108.0,117.0,145.0,,,,92.6,2,,Bristol,58.0,100.0,exact,False,False
BRISTOL PA,1,56,12.0,52.0,177.0,107.0,55.0,65.0,89.0,97.0,105.0,114.0,123.0,145.0,,,,,92.6,2,,nan,,0.0,unmatched,False,False
BRISTOL PA,1,55 56,43.0,27.0,229.0,99.0,51.0,68.0,78.0,85.0,95.0,103.0,112.0,121.0,158.0,,,,93.5,2,,nan,,0.0,unmatched,True,False
CHE 3 TER PA,1,55,31.0,40.0,273.0,134.0,76.0,94.0,102.0,123.0,136.0,145.0,158.0,171.0,194.0,,,,93.8,2,,Chester,55.0,81.8,low_confidence,False,False
CHE 3 TER PA,1,56,13.0,38.0,323.0,136.0,40.0,65.0,76.0,97.0,123.0,158.0,171.0,186.0,236.0,,,,93.1,2,,nan,,0.0,unmatched,False,False
CHE 3 TER PA,1,55,44.0,38.0,323.0,135.0,65.0,91.0,99.0,117.0,132.0,145.0,161.0,176.0,201.0,,,,93.5,2,,nan,,0.0,unmatched,False,False
