Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Col_19,Col_20,Col_21,Avg_Confidence,Page_Num
=== TABLE 1: Pages 1-8 ===,,,,,,,,,,,,,,,,,,,,,,
,2,55,18,32,280,129,76,85,89,100,123,138,158,,191,,,,,,93.9,4
,2,56,33,68,311,147,76,99,108,115,134,154,167,186,236,,,,,,94.3,4
,2,55 56,Si,32,311,141,76,91,101,112,127,148,165,184,219,,,,,,92.6,4
,,55,37,32,357,179,83,94,129,154,179,190,208,236,315,,,,,,92.8,4
,,56,64,68,608,217,95,115,149,175,201,222,254,292,366,,,,,,95.0,4
,,56,101,32,608,203,89,110,138,166,189,210,234,287,337,,,,,,94.8,4
SPRINGFIELD PEL,1,57,20,42,210,94,47,62,71,79,86,94,105,123,145,,,,,,90.5,4
EAST CHICAGO INO,1,,20,121,852,334,154,171,213,236,327,350,373,453,,,,,,,89.3,5
,1,,20,140,720,354,201,247,268,278,385,402,436,455,,,,,,,90.2,5
,1,,,66,978,306,123,145,236,250,264,278,311,385,493,,,,,,93.1,5
,1,55 57,,66,978,329,145,201,240,259,288,335,385,442,,,,,,,93.2,5
,2,55,22,69,677,282,145,155,171,247,268,294,327,385,453,,,,,,93.3,5
,2,56,is,122,564,269,134,145,171,201,236,278,327,3865,533,,,,,,88.3,5
,2,57,22,74,545,224,105,,171,186,201,224,257,303,327,,,,,,93.1,5
,2,55 57,,69,677,257,130,154,169,201,236,266,300,339,430,,,,,,92.9,5
,3,55,20,91,350,197,100,129,140,171,201,219,236,257,278,,,,,,93.8,5
,3,56,19,719,405,263,97,179,194,236,294,311,342,371,,,,,,,91.9,5
,3,,,6 3,442,216,123,145,158,179,194,215,236,278,327,,,,,,90.3,5
,3,55 57,,63,442,225s,102,134,171,189,210,232,271,327,375,,,,,,92.1,5
,4,55,16,76,410,203,89,117,,179,194,219,257,278,311,,,,,,93.1,5
,4,56,19,97,395,209,100,114,134,154,171,201,236,327,,,,,,,92.6,5
,4,57,20,55,345,187,65,105,145,177,189,201,224,257,303,,,,,,93.9,5
,4,55 57,57,35,410,199,93,111,134,171,189,206,236,292,327,,,,,,91.6,5
,,55,80,69,852,256,114,145,168,201,229,259,299,350,419,,,,,,93.9,5
